id,name,position_id
1,Development of an immersive virtual tour of ABU samaru campus,1
2,Intelligent traffic management system using computer vision,3
3,Student Verification Assistant Terminal ,3
4,Internet Performance Measurement (case study: ABU Zaria),1
5,The development of an automated network management system for Ahmadu Bello University, Zaria using software-defined network ,1
6,Smart Prosthetic Arms with sEMG,2
7,Hospital management system,1
8,DESIGN AND CONSTRUCTION OF A SMART TRAFFIC LIGHT CONTROL SYSTEM USING IOT,1
9,Automatic water level controller for water tanks,1
10,Self Driving Wheel Chair,2
11,Development of an AI-powered personalized tutoring system using Retrieval-Augmented Generation (RAG),1
12,DEVELOPMENT OF A WEB-BASED CHATBOT ASSISTANT FOR ABU ZARIA,1
13,School Management System,1
14,Smart home sytem,2
